SEQUENCIA,NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,IN_TREINEIRO,TP_SEXO,TP_NACIONALIDADE,TP_ESCOLA,TP_ENSINO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,Q024,Q025
1,190001336541,Arapiraca,21,1,3,0,F,1,2,1,0,27016579,Arapiraca,AL,Arapiraca,AL,"516,4","501,1","507,8","454,1",620,"519,88",A,B
2,190001336547,Maceió,17,1,2,0,F,1,2,1,1,27037053,Maceió,AL,Maceió,AL,"427,6",483,"515,2",402,660,"497,56",B,A
3,190001336553,Palmeira dos Índios,18,1,1,0,F,1,2,1,1,27015068,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"400,8","449,5","470,6",360,500,"436,18",A,B
4,190001336554,Belo Monte,18,1,3,0,F,1,2,1,0,27009742,Belo Monte,AL,Batalha,AL,"377,2","428,3","493,2","451,7",640,"478,08",A,A
5,190001336565,Maceió,16,1,4,0,F,1,2,1,0,27036782,Maceió,AL,Maceió,AL,"432,4","513,7","509,3","393,1",620,"493,7",A,B
6,190001336572,Maceió,18,1,3,0,F,1,2,1,0,27036782,Maceió,AL,Maceió,AL,"416,4","524,1",562,"418,2",560,"496,14",A,B
7,190001336581,Maceió,17,1,3,0,F,1,2,1,0,27038734,Maceió,AL,Maceió,AL,"545,9","540,7","534,3","650,2",660,"586,22",A,B
8,190001336583,Arapiraca,18,2,3,0,F,1,2,1,1,27047636,Arapiraca,AL,Arapiraca,AL,555,"575,8","575,3","562,1",760,"605,64",A,B
9,190001336600,Maceió,17,0,3,0,M,1,2,1,0,27037053,Maceió,AL,Maceió,AL,480,"447,6","467,8","406,8",520,"464,44",A,B
10,190001336606,Delmiro Gouveia,19,1,3,0,F,1,2,1,1,27003221,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"425,2","453,5","516,6","434,1",580,"481,88",A,B
11,190001336609,Santana do Ipanema,17,1,3,0,F,2,2,1,1,27007090,Santana do Ipanema,AL,Santana do Ipanema,AL,"530,6","496,1","491,9","489,3",580,"517,58",A,A
12,190001336610,Maceió,17,1,3,0,F,1,2,1,0,27037037,Maceió,AL,Maceió,AL,"436,2","526,8","577,6","480,3",620,"528,18",A,B
13,190001336618,Maceió,18,1,1,0,M,1,3,1,0,27047970,Maceió,AL,Maceió,AL,"578,5","576,4",572,545,640,"582,38",B,B
14,190001336624,Maceió,20,1,3,0,M,1,2,1,1,27038483,Maceió,AL,Maceió,AL,"409,7","458,4","504,1","464,9",580,"483,42",A,B
15,190001336631,Penedo,19,1,1,0,M,1,2,1,1,27045234,Penedo,AL,Penedo,AL,"476,7","383,5","479,4","413,3",420,"434,58",B,B
16,190001336637,Maceió,17,1,3,0,M,1,3,1,0,27215512,Maceió,AL,Maceió,AL,"571,6","645,9","528,8","815,6",940,"700,38",B,B
17,190001336645,Maceió,16,1,3,0,F,2,2,1,0,27038734,Maceió,AL,Maceió,AL,"421,2",481,"474,7","451,6",560,"477,7",A,A
18,190001336656,Inhapi,17,1,3,0,F,1,2,1,0,27218279,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"496,1","592,1","581,1","667,6",800,"627,38",B,B
19,190001336658,Maceió,19,1,3,0,M,1,2,1,1,27037037,Maceió,AL,Maceió,AL,"395,5","491,2","515,1",413,440,"450,96",B,B
20,190001336665,Porto Calvo,18,1,3,0,F,1,2,1,0,27031365,Porto Calvo,AL,Porto Calvo,AL,"466,5","499,4",522,"530,5",520,"507,68",A,A
21,190001336678,Penedo,18,1,3,0,F,1,2,1,1,27045234,Penedo,AL,Penedo,AL,"480,9","373,9","408,5","478,4",480,"444,34",A,A
22,190001336682,Maceió,19,1,3,0,F,1,2,1,1,27037088,Maceió,AL,Maceió,AL,438,375,"410,6","389,3",560,"434,58",A,B
23,190001338143,Maragogi,17,1,3,0,F,1,2,1,1,27032566,Maragogi,AL,Barreiros,PE,"380,4","344,5","449,9","407,6",540,"424,48",A,B
24,190001339054,Marechal Deodoro,32,2,2,0,F,1,2,1,1,27039412,Marechal Deodoro,AL,Marechal Deodoro,AL,"429,6","452,4","447,8","426,1",600,"471,18",A,B
25,190001339056,Santana do Mundaú,18,1,1,0,F,1,2,1,0,27023516,Santana do Mundaú,AL,União dos Palmares,AL,"444,3",503,"555,9","444,3",780,"545,5",B,B
26,190001339072,Cajueiro,18,1,3,0,M,2,2,1,1,27050580,Viçosa,AL,Viçosa,AL,"496,6","614,3","532,1","646,8",720,"601,96",B,B
27,190001339074,Maceió,17,1,3,0,F,1,2,1,1,27041042,Satuba,AL,Maceió,AL,"504,5","429,6","484,5","595,2",740,"550,76",B,B
28,190001339075,Maceió,17,1,3,0,M,1,2,1,0,27220044,Maceió,AL,Maceió,AL,"496,4","466,7","525,2","597,8",600,"537,22",B,B
29,190001339076,Maceió,18,1,3,0,M,1,2,1,1,27036782,Maceió,AL,Maceió,AL,"490,6","555,9","528,6","623,1",660,"571,64",B,B
30,190001339086,Teotônio Vilela,17,1,1,0,F,2,2,1,1,27044211,Teotônio Vilela,AL,Teotônio Vilela,AL,"455,8","513,8","496,5","475,8",680,"524,38",A,A
31,190001339104,Penedo,19,1,3,0,F,1,2,1,1,27045234,Penedo,AL,Penedo,AL,"421,1","505,5","524,9","461,6",560,"494,62",A,B
32,190001340156,Penedo,19,1,2,0,F,1,2,1,1,27047830,Penedo,AL,Penedo,AL,"541,1","551,5","559,1","639,6",720,"602,26",A,A
33,190001340159,Santana do Ipanema,17,1,2,0,M,1,2,1,1,27007987,Santana do Ipanema,AL,Santana do Ipanema,AL,"419,7","526,9","455,5","433,3",680,"503,08",A,A
34,190001340170,Maceió,17,1,3,0,F,1,3,1,0,27223361,Maceió,AL,Maceió,AL,"548,2","475,1","552,7","597,9",720,"578,78",A,B
35,190001340185,Maceió,18,1,3,0,M,1,3,1,0,27226220,Maceió,AL,Maceió,AL,"524,3","500,8","518,6","476,4",540,"512,02",B,B
36,190001340196,Maceió,17,2,2,0,M,1,2,1,0,27035980,Maceió,AL,Maceió,AL,"403,1",420,"467,3","454,7",700,"489,02",B,B
37,190001340215,Maceió,17,1,1,0,F,1,3,1,0,27368017,Maceió,AL,Maceió,AL,"370,5",503,"562,7",431,680,"509,44",B,B
38,190001340218,Maceió,18,1,2,0,M,1,2,1,1,27225968,Maceió,AL,Maceió,AL,"450,7","545,5","518,7","595,3",640,"550,04",A,B
39,190001340221,União dos Palmares,18,1,3,0,F,1,2,1,1,27025047,União dos Palmares,AL,União dos Palmares,AL,"424,1","527,9","541,2","532,9",300,"465,22",B,B
40,190001340225,Maceió,20,1,3,0,F,1,2,1,1,27037223,Maceió,AL,Maceió,AL,"477,8","544,3","559,7",639,540,"552,16",A,A
41,190001340233,Maceió,20,1,2,0,M,1,2,1,1,27034887,Maceió,AL,Maceió,AL,"425,8","374,6","426,7","486,2",460,"434,66",C,B
42,190001340239,Maceió,17,0,0,0,F,1,2,1,1,27036782,Maceió,AL,Maceió,AL,"427,4","530,2","542,9","593,3",660,"550,76",B,B
43,190001340240,Coruripe,17,1,3,0,M,1,2,1,0,27050572,Coruripe,AL,Coruripe,AL,"565,9","531,2","482,6","548,5",560,"537,64",B,B
44,190001340249,Maceió,17,1,3,0,M,1,2,1,0,27047520,Maceió,AL,Maceió,AL,"364,3",525,"469,4","506,3",480,469,B,B
45,190001340256,Maceió,17,1,0,0,F,1,3,1,1,27215032,Maceió,AL,Maceió,AL,"506,9","563,5","531,3","516,1",840,"591,56",B,B
46,190001340257,Maceió,17,1,3,0,M,1,3,1,1,27289010,Maceió,AL,Maceió,AL,541,"530,1","512,1","724,5",820,"625,54",B,B
47,190001340278,Atalaia,19,0,3,0,M,1,2,1,1,27026337,Atalaia,AL,Atalaia,AL,"390,6","392,9","368,1","411,3",0,"312,58",A,A
48,190001340280,Maceió,17,1,3,0,F,1,3,1,1,27047520,Maceió,AL,Maceió,AL,"458,5","581,2","549,8","597,3",740,"585,36",A,B
49,190001340294,União dos Palmares,18,1,3,0,M,1,2,1,0,27025047,União dos Palmares,AL,União dos Palmares,AL,"390,4",378,"468,5","441,1",480,"431,6",A,A
50,190001340309,Maceió,19,1,2,0,M,1,2,1,0,27225968,Maceió,AL,Maceió,AL,"479,5","391,7","460,4","493,3",480,"460,98",A,B
51,190001340311,Maceió,19,1,2,0,F,1,2,1,0,27038297,Maceió,AL,Maceió,AL,"512,5","367,4","341,3","427,9",440,"417,82",A,B
52,190001340315,Arapiraca,18,1,3,0,M,1,2,1,0,27016510,Arapiraca,AL,Arapiraca,AL,"439,6","514,7","504,3","435,3",280,"434,78",A,B
53,190001342625,Maceió,20,1,3,0,F,1,2,1,1,27034836,Maceió,AL,Maceió,AL,"431,5","421,5","507,5","411,6",720,"498,42",A,A
54,190001342646,Maceió,18,1,2,0,M,1,2,1,0,27036553,Maceió,AL,Maceió,AL,"521,5",536,"531,6",629,680,"579,62",A,B
55,190001342649,Monteirópolis,18,1,3,0,M,1,2,1,0,27010767,Monteirópolis,AL,Olho d'Água das Flores,AL,"361,4","439,9","513,5","457,6",800,"514,48",A,A
56,190001342652,Maceió,19,1,3,0,M,1,2,1,1,27035786,Maceió,AL,Maceió,AL,"490,7","503,8","564,3","472,7",740,"554,3",A,A
57,190001342656,Maceió,17,1,2,0,F,1,3,1,1,27034844,Maceió,AL,Maceió,AL,"383,7","392,4","518,4","535,7",560,"478,04",A,A
58,190001342659,Estrela de Alagoas,18,1,3,0,F,1,2,1,0,27012166,Estrela de Alagoas,AL,Palmeira dos Índios,AL,"517,2","520,1",524,"592,2",880,"606,7",A,B
59,190001342661,Palmeira dos Índios,18,1,1,0,F,1,2,1,0,27014959,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"498,9","574,1","531,1","451,9",780,"567,2",A,A
